1,nonn,core,nice,hard,,,,,nonn,242906,,,nonn,easy,base,tabl,sign,more,cons,nice,frac,fini,hard,full,tabf,walk,cofr,uned,mult,look,word,bref,new,eigen,core,dead,obsc,dumb,hear,unkn,less ,allocated,chnaged,probation,recycled
2,nonn,core,easy,nice,,,,,easy,59264,,nonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nonn,nice,easy,,,,,,base,31336,,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,core,easy,nonn,mult,,,,,tabl,15668,,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,easy,core,nonn,nice,mult,hear,,,sign,13906,,tabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nonn,easy,nice,,,,,,more,10924,,sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,core,nonn,mult,cons,easy,,,,cons,9490,,more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,nonn,easy,nice,,,,,,nice,6736,,cons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,nonn,core,easy,nice,,,,,frac,5750,,nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,easy,core,nonn,mult,nice,hear,,,fini,5333,,frac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,nonn,nice,easy,,,,,,hard,5242,,fini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,nonn,core,easy,mult,cofr,cons,tabl,,full,4134,,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,nonn,nice,easy,,,,,,tabf,4075,,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,nonn,easy,core,nice,,,,,walk,3864,,tabf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,nonn,easy,,,,,,,cofr,2790,,walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,nonn,nice,easy,,,,,,uned,2066,,cofr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,changed,1553,,uned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,nonn,,,,,,,,mult,1409,,mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,nonn,core,nice,,,,,,look,874,,look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,nonn,,,,,,,,word,651,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,nonn,,,,,,,,bref,614,,bref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,nonn,easy,nice,,,,,,new,402,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,sign,,,,,,,,eigen,376,,eigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,nonn,,,,,,,,core,174,,core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,sign,easy,nice,,,,,,dead,125,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,nonn,easy,nice,mult,,,,,obsc,115,,obsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,core,nonn,easy,mult,tabl,,,,dumb,83,,dumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,nonn,nice,easy,,,,,,hear,82,,hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
